NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV,latitude,longitude
113570,,ST. WOLFGANG (AUT),OS,4744N,01327E,542.0,47.733333333333334,13.45
113580,,BAD MITTERNDORF,OS,4733N,01357E,802.0,47.55,13.95
113600,,IRDNING/GUMPENSTEIN,OS,4730N,01407E,710.0,47.5,14.116666666666667
113800,,REICHNAU/RAX (AUT),OS,4742N,01551E,485.0,47.7,15.85
113820,,PUCHBERG,OS,4747N,01555E,586.0,47.78333333333333,15.916666666666666
113840,,HIRSCHENKOGEL,OS,4738N,01549E,1323.0,47.63333333333333,15.816666666666666
113850,,WAND HOCHKOGELHAUS,OS,4749N,01602E,932.0,47.81666666666667,16.033333333333335
114060,,CHEB,CZ,5005N,01224E,471.0,50.083333333333336,12.4
114140,LKKV,KARLOVY VARY,CZ,5012N,01254E,604.0,50.2,12.9
114180,,MARIANSKE LAZNE,CZ,4955N,01243E,541.0,49.916666666666664,12.716666666666667
114230,,PRIMDA,CZ,4940N,01240E,745.0,49.666666666666664,12.666666666666666
114380,,TUSIMICE,CZ,5023N,01321E,322.0,50.38333333333333,13.35
114480,,PLZEN/DOBRANY,CZ,4939N,01316E,364.0,49.65,13.266666666666667
114570,,CHURANOV,CZ,4904N,01337E,1126.0,49.06666666666667,13.616666666666667
114640,,MILESOVKA,CZ,5033N,01356E,836.0,50.55,13.933333333333334
114870,,KOCELOVICE,CZ,4928N,01350E,522.0,49.46666666666667,13.833333333333334
115020,,USTI NAD LABEM,CZ,5041N,01402E,376.0,50.68333333333333,14.033333333333333
115090,,DOKSANY,CZ,5028N,01410E,159.0,50.46666666666667,14.166666666666666
115180,LKPR,PRAGUE/RUZYNE,CZ,5006N,01417E,365.0,50.1,14.283333333333333
115200,,PRAGUE/LIBUS,CZ,5000N,01427E,304.0,50.0,14.45
115380,,TEMELIN,CZ,4912N,01420E,508.0,49.2,14.333333333333334
115400,,HOSIN,CZ,4902N,01429E,488.0,49.03333333333333,14.483333333333333
115410,,CESKE BUDEJOVICE,CZ,4856N,01427E,424.0,48.93333333333333,14.45
116030,,LIBEREC,CZ,5046N,01501E,400.0,50.766666666666666,15.016666666666667
116280,,KRAMOLIN-KOSETICE,CZ,4935N,01505E,534.0,49.583333333333336,15.083333333333334
116360,,KOSTELNI MYSLOVA,CZ,4911N,01528E,569.0,49.18333333333333,15.466666666666667
116430,,PEC POD SNEZKOU,CZ,5040N,01545E,816.0,50.666666666666664,15.75
116480,,HRADEC KRALOVE,CZ,5015N,01551E,244.0,50.25,15.85
116590,,PRIBYSLAV,CZ,4935N,01546E,536.0,49.583333333333336,15.766666666666667
116790,,USTI NAD ORLICI,CZ,4959N,01626E,402.0,49.983333333333334,16.433333333333334
116830,,SVRATOUCH,CZ,4944N,01602E,737.0,49.733333333333334,16.033333333333335
116930,,DUKOVANY,CZ,4906N,01608E,407.0,49.1,16.133333333333333
116980,,KUCHAROVICE,CZ,4853N,01605E,339.0,48.88333333333333,16.083333333333332
117100,,LUKA,CZ,4939N,01657E,518.0,49.65,16.95
117230,LKTB,BRNO/TURANY,CZ,4909N,01642E,246.0,49.15,16.7
117350,,PRADED MOUNTAIN,CZ,5004N,01714E,1492.0,50.06666666666667,17.233333333333334
117660,,CERVENA,CZ,4947N,01733E,750.0,49.78333333333333,17.55
117740,LKHO,HOLESOV,CZ,4919N,01734E,224.0,49.31666666666667,17.566666666666666
117820,LKMT,OSTRAVA/MOSNOV,CZ,4941N,01807E,256.0,49.68333333333333,18.116666666666667
117870,,LYSA HORA (PEAK),CZ,4933N,01827E,1327.0,49.55,18.45
118160,LZIB,BRATISLAVA IVANKA,CZ,4812N,01712E,130.0,48.2,17.2
118260,LKPP,PIESTANY,CZ,4832N,01750E,169.0,48.53333333333333,17.833333333333332
118410,,ZILINA/HRICOV,CZ,4914N,01837E,315.0,49.233333333333334,18.616666666666667
118550,,NITRA,CZ,4817N,01808E,135.0,48.28333333333333,18.133333333333333
118580,,HURBANOVO,CZ,4752N,01812E,124.0,47.86666666666667,18.2
118670,,PRIEVIDZA,CZ,4846N,01836E,260.0,48.766666666666666,18.6
