NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV
722088,84J,FOLLY BEACH (LORAN),SC,3241N,07953W,3
722090,LHW,FT STEWART/WRIGHT &,GA,3153N,08134W,14
722100,TBW,TAMPA BAY AREA,FL,2742N,08224W,13
722103,FPR,FT PIERCE/ST LUCIE,FL,2730N,08022W,7
722104,SPG,SAINT PETERSBURG,FL,2746N,08238W,2
722105,X89,FT MYERS BEACH(CGS),FL,2627N,08157W,1
722106,FMY,FORT MYERS/PAGE FLD,FL,2635N,08152W,5
722107,IMM,IMMOKALEE,FL,2626N,08124W,11
722108,RSW,FT MYERS/SW FLORIDA,FL,2632N,08145W,9
722110,TPA,TAMPA INTL AIRPORT,FL,2758N,08232W,3
722115,SRQ,SARASOTA-BRADENTON,FL,2724N,08233W,9
722116,PIE,SAINT PETERSBURG,FL,2755N,08241W,3
722117,X91,EGMONT KEY (CGS),FL,2736N,08246W,1
722118,X90,VENICE (LORAN),FL,2705N,08227W,1
722119,LAL,LAKELAND REGIONAL,FL,2759N,08201W,43
722120,CTY,CROSS CITY (AMOS) &,FL,2937N,08306W,13
722123,BOW,BARTOW MUNICIPAL  &,FL,2757N,08147W,39
722130,AYS,WAYCROSS/WARE CO.,GA,3115N,08224W,46
722135,AMG,ALMA/BACON CO.,GA,3132N,08230W,61
722136,BQK,BRUNSWICK/GLYNCO,GA,3115N,08128W,8
722137,SSI,BRUNSWICK/MALCOLM,GA,3109N,08123W,6
722138,MGR,MOULTRIE/THOMASVILL,GA,3105N,08348W,90
722139,1J1,ST. SIMON ISL (CGS),GA,3108N,08122W,1
722140,TLH,TALLAHASSEE RGNL,FL,3023N,08422W,21
722146,GNV,GAINESVILLE RGNL,FL,2941N,08216W,46
722150,,PEACHTREE CITY,GA,3322N,08434W,244
722160,ABY,ALBANY MUNICIPAL,GA,3132N,08411W,59
722166,VLD,VALDOSTA REGIONAL,GA,3047N,08317W,62
722170,MCN,MACON/LEWIS WILSON,GA,3242N,08339W,110
722175,WRB,WARNER ROBINS AFB,GA,3238N,08336W,90
722180,AGS,AUGUSTA/BUSH FIELD,GA,3322N,08158W,45
722184,7A9,PLAINS/PETERSON FLD,GA,3205N,08422W,160
722190,ATL,ATLANTA INTL ARPT,GA,3339N,08425W,315
722195,FTY,ATLANTA/FULTON CO.,GA,3347N,08431W,256
722196,PDK,ATLANTA/DEKALB,GA,3353N,08418W,305
722197,FFC,ATLANTA (NEXRAD),GA,3322N,08433W,296
722200,AQQ,APALACHICOLA MUNI,FL,2944N,08502W,6
722210,VPS,EGLIN AFB/VALPARAIS,FL,3029N,08632W,26
722215,CEW,CRESTVIEW/BOB SIKES,FL,3047N,08631W,65
722223,PNS,PENSACOLA REGIONAL&,FL,3028N,08711W,37
722225,NPA,PENSACOLA NAS,FL,3021N,08719W,9
722226,NSE,WHITING FLD NAS-N.,FL,3043N,08701W,61
722228,1J5,SANTA ROSA (CGS),FL,3019N,08715W,2
722230,MOB,MOBILE/BATES FIELD,AL,3041N,08815W,67
722235,BFM,MOBILE DOWNTOWN,AL,3038N,08804W,8
722236,8R1,MOBILE POINT (CGS),AL,3014N,08802W,1
722237,8R0,PASCAGOULA (CGS),MS,3022N,08834W,8
722238,HEY,HANCHEY AHP/OZARK,AL,3121N,08540W,97
722239,LOR,LOWE AHP/FT. RUCKER,AL,3121N,08545W,74
722240,,CAPE SAN BLAS,FL,2941N,08522W,2
722245,PFN,PANAMA CITY/BAY CO.,FL,3013N,08541W,6
722246,EGI,DUKE FLD/EGLIN AUX,FL,3039N,08631W,59
722250,LSF,FORT BENNING,GA,3220N,08500W,71
722255,CSG,COLUMBUS METRO ARPT,GA,3231N,08456W,121
722260,MGM,MONTGOMERY/DANNELLY,AL,3218N,08624W,62
722265,MXF,MAXWELL AFB/MONTGOM,AL,3223N,08622W,51
722266,SEM,CRAIG FIELD/SELMA,AL,3221N,08659W,51
722267,TOI,TROY MUNICIPAL,AL,3152N,08601W,121
722268,DHN,DOTHAN MUNICIPAL,AL,3119N,08527W,122
722269,OZR,CAIRNS AAF/OZARK,AL,3117N,08543W,91
722270,MGE,DOBBINS AFB/MARIETT,GA,3355N,08431W,326
722275,79J,ANDALUSIA/OPP ARPT,AL,3119N,08624W,94
722276,SXS,SCHELL AHP,AL,3121N,08551W,122
722280,BHM,BIRMINGHAM MUNI,AL,3334N,08645W,192
722284,AUO,AUBURN-OPELIKA APT,AL,3237N,08526W,236
722285,GAD,GADSEN MUNI (AWOS),AL,3358N,08605W,173
722286,TCL,TUSCALOOSA MUNI,AL,3313N,08737W,52
722287,ANB,ANNISTON/CALHOUN CO,AL,3335N,08551W,186
722288,AUB,AUBURN UNIV. (AMOS),AL,3236N,08530W,198
722289,BMX,BIRMINGHAM NEXRAD,AL,3310N,08645W,231
722290,CKL,CENTREVILLE/BIBB CO,AL,3254N,08715W,140
722293,7R5,CAMERON HELIPORT,LA,2947N,09318W,1
722295,S58,SOUTH TIMBALIER,LA,2832N,09035W,1
722296,S65,SHIP SHOAL 198G,LA,2830N,09112W,2
722298,VRX,VERMILLION AREA,LA,2835N,09227W,1
722299,W76,WEST CAMERON B522,LA,2823N,09330W,29
